filename,label,filename,label,",",,,filename
00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,Apple___Apple_scab,n001,n001,",",0001,.JPG,n0010001.JPG
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,Apple___Apple_scab,n001,n001,",",0002,.JPG,n0010002.JPG
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab,n001,n001,",",0003,.JPG,n0010003.JPG
0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab,n001,n001,",",0004,.JPG,n0010004.JPG
023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,Apple___Apple_scab,n001,n001,",",0005,.JPG,n0010005.JPG
0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab,n001,n001,",",0006,.JPG,n0010006.JPG
029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,Apple___Apple_scab,n001,n001,",",0007,.JPG,n0010007.JPG
03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,Apple___Apple_scab,n001,n001,",",0008,.JPG,n0010008.JPG
0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,Apple___Apple_scab,n001,n001,",",0009,.JPG,n0010009.JPG
0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,Apple___Apple_scab,n001,n001,",",0010,.JPG,n0010010.JPG
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab,n001,n001,",",0011,.JPG,n0010011.JPG
0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,Apple___Apple_scab,n001,n001,",",0012,.JPG,n0010012.JPG
058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,Apple___Apple_scab,n001,n001,",",0013,.JPG,n0010013.JPG
0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,Apple___Apple_scab,n001,n001,",",0014,.JPG,n0010014.JPG
0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab,n001,n001,",",0015,.JPG,n0010015.JPG
06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab,n001,n001,",",0016,.JPG,n0010016.JPG
073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,Apple___Apple_scab,n001,n001,",",0017,.JPG,n0010017.JPG
